Student ID,First Name,Last Name,Birth Date,School,Program,GPA
549009,Rony,Hatem,2001-05-31,School of Science,Nano,3.36
137114,Yasser,Moataz,2003-12-21,School of Science,Nano,3.64
616485,Nouran,Yahia,2004-05-09,School of Engineering,CIE,2.93
600461,Abdulrahman,Abdulaziz,2000-01-27,School of Business,Management,3.73
862794,Layla,Moataz,2004-07-27,School of Business,Finance,2.55
269947,Yahia,Karim,2002-09-11,School of Business,Management,2.99
283244,Ahmed,Moahmed,2004-12-21,School of Computer Science,SWD,3.51
317245,Layla,Youssef,2004-09-02,School of Business,Management,3.6
979324,Abdullah,Hendy,2000-07-15,School of Science,Physics,3.37
691022,Yasser,Tarek,2005-11-20,School of Science,Physics,3.61
374236,Rahma,Mostafa,1999-04-03,School of Computer Science,DSAI,3.31
290847,Ziad,Mostafa,1999-07-14,School of Science,Nano,3.11
687170,Hana,Abdulaziz,2005-11-23,School of Business,Marketing,2.81
510622,Nada,Yahia,2003-01-31,School of Computer Science,DSAI,3.67
854445,Mark,Moataz,2003-09-27,School of Science,Bio Medical,3.97
756117,Abdullah,Karim,2004-03-29,School of Science,Physics,3.05
157962,Mark,Yasser,2005-02-07,School of Engineering,CIE,2.94
961204,Ziad,Hatem,1999-03-10,School of Engineering,Nano Tech,2.53
519730,Haneen,Samir,2001-08-30,School of Business,Finance,3.57
359482,Aya,Abdulrahman,2004-11-30,School of Computer Science,DSAI,3.65
470384,Ziad,Abdelrahim,1999-05-29,School of Computer Science,DSAI,3.98
113276,Karim,Abdulrahman,2000-01-17,School of Science,Bio Medical,2.77
925357,Rony,Abdulrahman,1999-04-11,School of Engineering,Renewable,2.82
427147,Karim,Samir,2003-10-17,School of Engineering,Aero Space,3.94
698981,Omar,Ahmed,1999-07-17,School of Science,Physics,2.74
545879,Omar,Abdulaziz,2004-01-06,School of Computer Science,IT,3.41
584075,Mark,Hani,2004-07-23,School of Computer Science,IT,3.53
110464,Seif,Moahmed,2005-02-06,School of Science,Bio Medical,3.04
627718,Ahmed,Karim,2003-06-21,School of Business,Finance,3.21
795639,Fatma,Hatem,2002-01-24,School of Computer Science,DSAI,3.55
103193,Yasser,Hani,2004-02-26,School of Science,Bio Medical,3.92
930122,Seif,Moataz,2003-03-15,School of Business,Management,3.81
155510,Fatma,Hendy,1999-08-10,School of Science,Nano,3.13
423753,Mahmoud,Abdulaziz,2004-10-19,School of Business,Marketing,3.36
499194,Fatma,Abdelrahim,2000-01-16,School of Business,Management,3.47
186771,Yahia,Walid,2002-05-20,School of Science,Physics,3.69
662890,Aya,Karim,2003-08-18,School of Science,Bio Medical,2.72
123432,Yahia,Mostafa,2004-01-30,School of Science,Nano,3.86
166250,Abdullah,Hani,2005-03-23,School of Engineering,Nano Tech,2.65
235829,Hassan,Tarek,1999-03-27,School of Computer Science,IT,3.83
871048,Hussein,Abdulrahman,2002-06-19,School of Science,Nano,2.62
340342,Mazen,Samir,2003-04-11,School of Business,Management,3.8
532959,Salma,Hendy,2001-07-09,School of Science,Bio Medical,3.15
577832,Nada,Ahmed,2004-09-22,School of Business,Management,3.58
480257,Rahma,Walid,2000-09-04,School of Engineering,Aero Space,3.75
842418,Mark,Yahia,2002-03-20,School of Computer Science,IT,3.22
294675,Abdulaziz,Mahmoud,2000-04-13,School of Science,Nano,3.79
282602,Salma,Abdelsalam,2004-03-31,School of Engineering,Nano Tech,3.98
371627,Ziad,Karim,2000-12-12,School of Science,Physics,2.91
404947,Youssef,Taha,2004-11-08,School of Science,Bio Medical,2.84
416855,Abdullah,Ali,2005-06-21,School of Business,Finance,2.88
138742,Nada,Yahia,2005-11-09,School of Business,Finance,3.81
536732,Abdulaziz,Shaaban,2002-12-22,School of Business,Finance,2.92
470672,Layla,Yasser,2003-02-16,School of Computer Science,DSAI,3.91
706425,Hana,Shaaban,2001-03-18,School of Science,Bio Medical,3.9
879382,Mahmoud,Moataz,2001-11-15,School of Science,Physics,3.91
699879,Rony,Abdullah,1999-02-20,School of Computer Science,IT,3.51
794629,Haneen,Ramadan,2005-09-01,School of Computer Science,SWD,3.85
633552,Mariam,Mostafa,2001-10-04,School of Computer Science,SWD,3.03
453896,Yahia,Mostafa,2003-02-12,School of Engineering,CIE,3.41
832575,Mazen,Samir,2005-08-25,School of Business,Finance,2.69
834370,Hassan,Tarek,2002-06-22,School of Business,Finance,2.92
420931,Lina,Shaaban,2000-08-24,School of Business,Finance,3.46
776351,Ali,Youssef,2001-02-25,School of Business,Management,2.59
446917,Khaled,Hendy,2000-04-26,School of Engineering,Renewable,3.4
129422,Hassan,Ali,2003-03-21,School of Science,Bio Medical,2.97
898741,Youssef,Hendy,2002-03-09,School of Business,Marketing,2.79
992178,Mohamed,Samir,2001-04-13,School of Engineering,Nano Tech,3.45
349226,Mohamed,Youssef,2005-02-10,School of Engineering,Nano Tech,3.54
872510,Rony,Hatem,2000-03-27,School of Computer Science,IT,3.64
267124,Mariam,Ahmed,1999-11-14,School of Engineering,Renewable,3.06
372313,Hassan,Hendy,2003-01-30,School of Business,Finance,2.71
861487,Abdulaziz,Taha,2003-06-28,School of Computer Science,SWD,3.63
424257,Salma,Mahmoud,2004-02-21,School of Engineering,Aero Space,3.5
253995,Youssef,Abdelsalam,2004-08-28,School of Science,Nano,3.75
255546,Ali,Hatem,2003-04-27,School of Computer Science,IT,2.79
