Student ID,First Name,Last Name,Birth Date,School,Program,GPA
198885,Lina,Mahmoud,2000-04-05,School of Computer Science,IT,3.42
353711,Salma,Hani,2002-01-09,School of Science,Physics,3.8
427089,Yahia,Abdelsalam,2004-11-12,School of Business,Marketing,2.91
332714,Abdulaziz,Karim,2001-07-28,School of Computer Science,IT,3.8
609357,Rahma,Tarek,2003-07-26,School of Computer Science,IT,3.41
531554,Hussein,Hatem,2003-08-03,School of Computer Science,DSAI,3.66
201661,Karim,Mostafa,2004-06-07,School of Science,Bio Medical,3.62
650621,Layla,Mahmoud,2001-08-19,School of Business,Finance,3.54
401110,Mark,Ali,2003-02-03,School of Business,Finance,2.55
664018,Mark,Khaled,2000-10-08,School of Computer Science,DSAI,3.53
492068,Mariam,Taha,2000-05-25,School of Engineering,Aero Space,3.74
805873,Rony,Khaled,2004-05-06,School of Business,Finance,2.65
322208,Haneen,Moataz,2002-08-02,School of Engineering,Nano Tech,3.03
224294,Sara,Moahmed,1999-06-21,School of Science,Nano,3.49
364636,Hana,Yahia,2005-06-06,School of Science,Physics,3.7
240371,Haneen,Youssef,2004-11-24,School of Business,Marketing,3.78
625192,Ali,Khaled,2005-02-18,School of Business,Marketing,3.8
749035,Lina,Walid,2002-03-20,School of Business,Finance,3.09
936798,Abdulaziz,Samir,2004-08-04,School of Science,Bio Medical,2.74
878156,Layla,Moahmed,2005-07-22,School of Engineering,Renewable,2.69
399748,Fatma,Abdelsalam,2001-01-15,School of Science,Bio Medical,3.6
365126,Mark,Abdelsalam,2003-10-30,School of Business,Finance,3.85
421613,Khaled,Khaled,2001-05-10,School of Business,Management,3.16
445770,Mark,Moahmed,2001-04-02,School of Science,Bio Medical,3.51
605263,Mohamed,Abdulaziz,2001-07-23,School of Engineering,Nano Tech,3.74
261500,Khaled,Tarek,2005-08-02,School of Business,Finance,3.95
214796,Ziad,Abdelrahim,2004-07-20,School of Business,Marketing,3.21
851550,Mariam,Abdulaziz,2002-03-17,School of Engineering,Aero Space,3.96
116906,Karim,Hendy,2001-06-27,School of Computer Science,SWD,3.39
576149,Aya,Khaled,2004-05-22,School of Science,Physics,4.0
574548,Rahma,Samir,2001-09-04,School of Science,Bio Medical,3.41
254969,Lina,Mostafa,2005-01-29,School of Science,Bio Medical,3.39
537771,Nouran,Tarek,2005-02-16,School of Engineering,Aero Space,3.19
525762,Ali,Abdulaziz,2001-01-26,School of Business,Marketing,3.44
867908,Layla,Samir,2004-03-21,School of Science,Bio Medical,2.98
902373,Nouran,Hatem,2002-12-13,School of Science,Physics,3.68
277902,Lina,Moahmed,1999-07-29,School of Business,Management,2.68
